   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
  0.00000000    0.03086554    0.49999994    0.46913439    0.06173109    0.05076739    1.00462949    0.60797966    0.49769586    0.44450992    0.00000000    0.00000000    0.00000000    0.00008971
  0.00000000    0.00098747    0.47012186    0.46913439    0.00210045    0.00261877    0.56821984    0.37707272    0.82735908    0.82183367    1.52514982    6.85223866    0.00000379    0.00017531
  0.10000000    0.00086878    0.41179198    0.41092321    0.00210974    0.00231123    0.49906775    0.37589327    0.82512242    0.81958598    1.53388739    6.76374578    0.00106717    0.00015371
  0.20000000    0.00076388    0.36056310    0.35979921    0.00211858    0.00203278    0.43781325    0.37578169    0.82355458    0.81801170    1.54091704    6.70260477    0.00188380    0.00013504
  0.30000001    0.00067102    0.31564695    0.31497592    0.00212586    0.00179243    0.38382000    0.37436321    0.82238275    0.81681991    1.55246818    6.83833790    0.00249450    0.00011799
  0.40000001    0.00058897    0.27626958    0.27568063    0.00213186    0.00157440    0.33631253    0.37409139    0.82146680    0.81589609    1.55525720    6.79388857    0.00293780    0.00010373
  0.50000000    0.00051590    0.24176790    0.24125201    0.00213386    0.00138152    0.29457492    0.37342933    0.82073486    0.81516051    1.55517614    6.95389700    0.00324242    0.00009049
  0.60000002    0.00045220    0.21153437    0.21108218    0.00213770    0.00121325    0.25791565    0.37271532    0.82016879    0.81458372    1.56909084    6.71592379    0.00343778    0.00007895
  0.70000005    0.00039581    0.18505986    0.18466406    0.00213883    0.00106726    0.22576858    0.37086698    0.81968826    0.81408674    1.57786024    7.03534842    0.00354403    0.00006861
  0.80000007    0.00034730    0.16189648    0.16154918    0.00214517    0.00093205    0.19759205    0.37261406    0.81934714    0.81375098    1.57980525    6.76596498    0.00357790    0.00006019
  0.90000010    0.00030363    0.14162210    0.14131846    0.00214397    0.00081471    0.17290521    0.37268978    0.81907362    0.81348449    1.57185543    7.05480576    0.00355704    0.00005268
  1.00000012    0.00026545    0.12387720    0.12361175    0.00214282    0.00071280    0.15127556    0.37239930    0.81888443    0.81329751    1.57702816    6.85252523    0.00349421    0.00004622
  1.10000014    0.00023274    0.10835029    0.10811755    0.00214801    0.00062738    0.13233280    0.37096897    0.81877124    0.81315732    1.57955694    6.92636490    0.00339885    0.00004059
  1.20000017    0.00020344    0.09475584    0.09455239    0.00214703    0.00054990    0.11573241    0.36996278    0.81874937    0.81312788    1.57700062    6.62203455    0.00327829    0.00003528
  1.30000019    0.00017770    0.08287189    0.08269419    0.00214433    0.00047997    0.10121435    0.37024137    0.81877613    0.81316423    1.58006179    6.95526743    0.00313914    0.00003101
  1.40000021    0.00015514    0.07247860    0.07232346    0.00214045    0.00041849    0.08851111    0.37070590    0.81886446    0.81326646    1.59239256    6.58103800    0.00298988    0.00002702
  1.50000024    0.00013593    0.06338680    0.06325087    0.00214441    0.00036630    0.07739884    0.37108192    0.81896311    0.81335759    1.59200752    6.98167086    0.00283122    0.00002375
  1.60000026    0.00011897    0.05543682    0.05531785    0.00214605    0.00031987    0.06768062    0.37193596    0.81909442    0.81349188    1.57802951    6.96664619    0.00266949    0.00002076
  1.70000029    0.00010422    0.04848720    0.04838298    0.00214954    0.00028217    0.05917932    0.36937216    0.81932670    0.81368583    1.58433056    6.82263756    0.00250735    0.00001828
  1.80000031    0.00009128    0.04241132    0.04232004    0.00215230    0.00024662    0.05174790    0.37013948    0.81957561    0.81393272    1.59234202    6.92017078    0.00234764    0.00001589
  1.90000033    0.00007993    0.03709402    0.03701409    0.00215490    0.00021534    0.04524525    0.37119168    0.81984341    0.81420159    1.58205247    7.16037369    0.00219002    0.00001395
  2.00000024    0.00006980    0.03244315    0.03237336    0.00215133    0.00018883    0.03955662    0.36962640    0.82017004    0.81451738    1.58945167    7.09606886    0.00203925    0.00001215
  2.10000014    0.00006125    0.02837716    0.02831591    0.00215846    0.00016654    0.03458568    0.36777768    0.82048851    0.81479400    1.59173882    6.62107182    0.00189258    0.00001066
  2.20000005    0.00005323    0.02482400    0.02477078    0.00214421    0.00014403    0.03024174    0.36955139    0.82085234    0.81520957    1.59235477    6.43349504    0.00175383    0.00000929
  2.29999995    0.00004642    0.02171311    0.02166669    0.00213779    0.00012489    0.02643864    0.37167788    0.82126403    0.81565547    1.57363200    6.79549885    0.00162288    0.00000816
  2.39999986    0.00004078    0.01899739    0.01895661    0.00214645    0.00011079    0.02311973    0.36805025    0.82169616    0.81602198    1.59060788    6.86903811    0.00149883    0.00000704
  2.49999976    0.00003574    0.01662227    0.01658653    0.00215043    0.00009676    0.02021810    0.36942291    0.82214791    0.81647253    1.58341551    7.15558577    0.00138078    0.00000611
  2.59999967    0.00003112    0.01454597    0.01451484    0.00213949    0.00008335    0.01768097    0.37336189    0.82269043    0.81707835    1.57112861    6.46051264    0.00126987    0.00000545
  2.69999957    0.00002720    0.01272845    0.01270125    0.00213710    0.00007270    0.01546306    0.37414715    0.82315254    0.81754941    1.57415617    7.12306070    0.00116690    0.00000486
  2.79999948    0.00002393    0.01114070    0.01111677    0.00214834    0.00006446    0.01352506    0.37131080    0.82370812    0.81803989    1.57769442    6.72315454    0.00107012    0.00000424
  2.89999938    0.00002088    0.00974912    0.00972824    0.00214194    0.00005541    0.01182784    0.37687355    0.82425219    0.81865168    1.57538497    8.00949001    0.00098044    0.00000373
  2.99999928    0.00001814    0.00853075    0.00851261    0.00212607    0.00004856    0.01034102    0.37352213    0.82494259    0.81934154    1.59593141    7.10433578    0.00089764    0.00000320
  3.09999919    0.00001593    0.00746769    0.00745175    0.00213359    0.00004242    0.00904672    0.37556142    0.82545769    0.81985182    1.57203364    5.97627974    0.00082066    0.00000278
  3.19999909    0.00001396    0.00653940    0.00652544    0.00213521    0.00003753    0.00791582    0.37201220    0.82611787    0.82046360    1.58402944    7.53144598    0.00075001    0.00000238
  3.29999900    0.00001235    0.00572504    0.00571269    0.00215702    0.00003368    0.00692493    0.36671010    0.82672870    0.82095325    1.55754375    6.52473974    0.00068519    0.00000208
  3.39999890    0.00001072    0.00501234    0.00500162    0.00213872    0.00002893    0.00605707    0.37060007    0.82751775    0.82182324    1.53459311    6.42376423    0.00062530    0.00000187
  3.49999881    0.00000937    0.00438809    0.00437873    0.00213464    0.00002499    0.00529779    0.37475598    0.82828730    0.82263809    1.57815194    6.60216379    0.00056980    0.00000167
  3.59999871    0.00000817    0.00384308    0.00383491    0.00212720    0.00002204    0.00463557    0.37099364    0.82904327    0.82336581    1.58279228    8.24546909    0.00051896    0.00000149
  3.69999862    0.00000723    0.00336602    0.00335879    0.00214883    0.00001987    0.00405587    0.36409095    0.82991332    0.82409352    1.62745059    8.88110638    0.00047301    0.00000131
  3.79999852    0.00000625    0.00294919    0.00294294    0.00211821    0.00001689    0.00355109    0.36977196    0.83050084    0.82481760    1.59091294    7.10195017    0.00043017    0.00000114
  3.89999843    0.00000546    0.00258410    0.00257863    0.00211486    0.00001423    0.00310876    0.38406554    0.83123070    0.82569343    1.55529189    6.60512257    0.00039102    0.00000098
  3.99999833    0.00000486    0.00226466    0.00225981    0.00214513    0.00001290    0.00272207    0.37663397    0.83196473    0.82626486    1.56825387    6.06453419    0.00035532    0.00000082
  4.09999847    0.00000426    0.00198440    0.00198013    0.00214826    0.00001160    0.00238304    0.36761242    0.83271730    0.82690454    1.56236374    6.74811220    0.00032250    0.00000073
  4.19999838    0.00000373    0.00173899    0.00173526    0.00214492    0.00000999    0.00208628    0.37332359    0.83353621    0.82778412    1.55271995    6.66249275    0.00029242    0.00000063
  4.29999828    0.00000320    0.00152432    0.00152112    0.00209733    0.00000857    0.00182670    0.37317657    0.83446914    0.82883185    1.60994279    7.03443527    0.00026551    0.00000056
  4.39999819    0.00000277    0.00133634    0.00133356    0.00207358    0.00000733    0.00159995    0.37790784    0.83523822    0.82970381    1.66722214    9.05940533    0.00024073    0.00000050
  4.49999809    0.00000251    0.00117192    0.00116941    0.00213838    0.00000684    0.00140139    0.36630055    0.83625174    0.83040965    1.62825453    6.86526012    0.00021838    0.00000043
  4.59999800    0.00000222    0.00102807    0.00102585    0.00216424    0.00000575    0.00122836    0.38673526    0.83694589    0.83124119    1.56356192    5.03452635    0.00019797    0.00000039
  4.69999790    0.00000193    0.00090182    0.00089989    0.00214122    0.00000511    0.00107604    0.37811431    0.83809376    0.83234888    1.53053629    5.34256744    0.00017914    0.00000034
  4.79999781    0.00000169    0.00079062    0.00078893    0.00213882    0.00000433    0.00094228    0.39021415    0.83904779    0.83342040    1.52463520    7.01882648    0.00016190    0.00000030
  4.89999771    0.00000147    0.00069344    0.00069197    0.00212707    0.00000368    0.00082529    0.40067485    0.84023523    0.83472466    1.44429672    6.82825708    0.00014661    0.00000027
  4.99999762    0.00000129    0.00060843    0.00060714    0.00211693    0.00000333    0.00072334    0.38653478    0.84113216    0.83550268    1.53964126    5.94224977    0.00013229    0.00000022
  5.09999752    0.00000113    0.00053389    0.00053276    0.00211466    0.00000307    0.00063388    0.36834121    0.84225899    0.83643335    1.60904336    8.67133999    0.00011999    0.00000019
  5.19999743    0.00000101    0.00046888    0.00046787    0.00216046    0.00000260    0.00055647    0.38958910    0.84260690    0.83687603    1.59606683    2.63722205    0.00010812    0.00000019
  5.29999733    0.00000084    0.00041192    0.00041108    0.00203680    0.00000220    0.00048822    0.38108346    0.84371907    0.83822060    1.41306388    8.11675549    0.00009770    0.00000017
  5.39999723    0.00000076    0.00036190    0.00036114    0.00208898    0.00000195    0.00042809    0.38787302    0.84537190    0.83978248    1.51253188    7.16117430    0.00008822    0.00000014
  5.49999714    0.00000065    0.00031755    0.00031691    0.00203744    0.00000171    0.00037517    0.37830311    0.84642285    0.84086514    1.54201174    5.22204399    0.00007963    0.00000012
