   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
  0.00000000    0.03084151    0.49999997    0.46915847    0.06168302    0.05902336    0.95694047    0.52253050    0.52249849    0.46178660    0.00000000    0.00000000    0.00000000    0.00010225
  0.00000000    0.00098565    0.47014412    0.46915847    0.00209648    0.00277497    0.61979526    0.35519281    0.75854748    0.75358325    1.52474248    6.73744202    0.00000349    0.00016275
  0.10000000    0.00086609    0.41177517    0.41090909    0.00210332    0.00245421    0.54446125    0.35290128    0.75629842    0.75132102    1.52607214    6.81438780    0.00063311    0.00014220
  0.20000000    0.00076179    0.36056748    0.35980567    0.00211277    0.00216577    0.47778037    0.35174289    0.75467205    0.74967927    1.54192150    6.64256096    0.00113468    0.00012391
  0.30000001    0.00066903    0.31563434    0.31496531    0.00211965    0.00190028    0.41895002    0.35207087    0.75339377    0.74840224    1.55737984    6.94511843    0.00151035    0.00010827
  0.40000001    0.00058786    0.27625901    0.27567115    0.00212795    0.00167897    0.36718774    0.35013440    0.75236446    0.74734622    1.55663025    6.60856533    0.00179494    0.00009540
  0.50000000    0.00051522    0.24176843    0.24125321    0.00213107    0.00147003    0.32169914    0.35048667    0.75153583    0.74652296    1.55490279    6.84451056    0.00198323    0.00008338
  0.60000002    0.00045110    0.21155389    0.21110278    0.00213232    0.00128343    0.28176418    0.35148120    0.75081897    0.74582076    1.56500018    6.93494320    0.00211786    0.00007381
  0.70000005    0.00039710    0.18507393    0.18467683    0.00214566    0.00114083    0.24668656    0.34808466    0.75023919    0.74518323    1.57297790    7.02009678    0.00220376    0.00006464
  0.80000007    0.00034733    0.16189618    0.16154885    0.00214539    0.00099197    0.21592528    0.35014170    0.74977875    0.74474877    1.56837308    6.87793541    0.00223918    0.00005533
  0.90000010    0.00030325    0.14161995    0.14131670    0.00214129    0.00086418    0.18896903    0.35090935    0.74943471    0.74442559    1.58536935    6.82732058    0.00224203    0.00005003
  1.00000012    0.00026516    0.12387809    0.12361293    0.00214053    0.00075863    0.16535504    0.34952906    0.74916428    0.74414659    1.57013464    6.87321663    0.00222083    0.00004337
  1.10000014    0.00023301    0.10834511    0.10811210    0.00215067    0.00067100    0.14466594    0.34726271    0.74893314    0.74387211    1.57520974    7.35880280    0.00217500    0.00003852
  1.20000017    0.00020246    0.09476512    0.09456266    0.00213644    0.00057855    0.12655912    0.34994349    0.74878144    0.74378157    1.57274008    6.88007498    0.00210959    0.00003374
  1.30000019    0.00017793    0.08287636    0.08269843    0.00214693    0.00051184    0.11069729    0.34762761    0.74867558    0.74362987    1.57492256    7.25240326    0.00203073    0.00003038
  1.40000021    0.00015628    0.07248130    0.07232501    0.00215621    0.00045188    0.09681530    0.34585199    0.74865538    0.74357051    1.59828699    6.80889511    0.00193850    0.00002657
