   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
    0.000000      0.030863      0.500000      0.469137      0.061725      0.057457      1.082840      0.537147      0.461749      0.411417      0.000000      0.000000      0.000000      0.000109
    0.000000      0.000960      0.470098      0.469137      0.002043      0.002733      0.639097      0.351367      0.735566      0.730937      1.405290      5.902630      0.000003      0.000180
    0.100000      0.000844      0.411831      0.410986      0.002050      0.002408      0.560837      0.350563      0.734315      0.729677      1.396101      5.966790      0.000652      0.000157
    0.200000      0.000743      0.360662      0.359920      0.002060      0.002130      0.491655      0.348759      0.733567      0.728899      1.409769      6.174899      0.001141      0.000140
    0.300000      0.000654      0.315772      0.315118      0.002071      0.001869      0.430740      0.349808      0.733092      0.728413      1.412957      5.949337      0.001519      0.000123
    0.400000      0.000576      0.276431      0.275855      0.002085      0.001654      0.377196      0.348458      0.732858      0.728136      1.425106      6.089202      0.001789      0.000111
    0.500000      0.000508      0.241950      0.241441      0.002101      0.001456      0.330217      0.349097      0.732700      0.727950      1.429776      5.934506      0.002001      0.000099
    0.600000      0.000447      0.211744      0.211297      0.002110      0.001277      0.289001      0.350007      0.732675      0.727913      1.420771      5.827691      0.002129      0.000085
    0.700000      0.000395      0.185307      0.184911      0.002133      0.001117      0.252905      0.353745      0.732712      0.727933      1.430005      5.805507      0.002204      0.000080
    0.800000      0.000348      0.162133      0.161784      0.002148      0.000977      0.221233      0.356594      0.732858      0.728070      1.443077      5.953214      0.002231      0.000073
    0.900000      0.000309      0.141856      0.141548      0.002177      0.000859      0.193530      0.359460      0.732994      0.728167      1.414771      6.066460      0.002222      0.000067
    1.000000      0.000276      0.124109      0.123833      0.002221      0.000766      0.169264      0.359587      0.733228      0.728302      1.431601      5.479784      0.002206      0.000063
    1.100000      0.000245      0.108573      0.108328      0.002258      0.000671      0.148034      0.365319      0.733438      0.728478      1.443961      6.078512      0.002152      0.000060
    1.200000      0.000220      0.094981      0.094761      0.002320      0.000599      0.129435      0.367560      0.733809      0.728732      1.426669      5.177749      0.002085      0.000058
    1.300000      0.000200      0.083091      0.082892      0.002404      0.000531      0.113169      0.375969      0.734223      0.729035      1.449157      6.534477      0.001997      0.000055
    1.400000      0.000183      0.072689      0.072506      0.002516      0.000480      0.098951      0.381067      0.734596      0.729210      1.432571      5.568814      0.001919      0.000053
    1.500000      0.000168      0.063587      0.063418      0.002649      0.000429      0.086514      0.392665      0.734986      0.729423      1.420334      5.600483      0.001846      0.000053
    1.600000      0.000155      0.055623      0.055468      0.002791      0.000384      0.075633      0.404271      0.735442      0.729683      1.441925      5.346115      0.001752      0.000053
    1.700000      0.000146      0.048658      0.048512      0.003001      0.000347      0.066119      0.420536      0.735919      0.729878      1.436061      5.038545      0.001651      0.000054
    1.800000      0.000140      0.042571      0.042431      0.003283      0.000320      0.057809      0.436677      0.736406      0.729948      1.451859      4.907113      0.001537      0.000054
    1.900000      0.000137      0.037248      0.037111      0.003668      0.000298      0.050538      0.458586      0.737021      0.730014      1.458905      4.617888      0.001440      0.000055
    2.000000      0.000134      0.032583      0.032449      0.004113      0.000283      0.044176      0.474124      0.737585      0.729882      1.427449      4.526540      0.001336      0.000056
    2.100000      0.000135      0.028514      0.028379      0.004742      0.000271      0.038631      0.499688      0.738117      0.729506      1.427113      4.105100      0.001248      0.000057
    2.200000      0.000138      0.024948      0.024810      0.005516      0.000261      0.033767      0.526511      0.738814      0.729096      1.435698      4.125475      0.001156      0.000064
    2.300000      0.000142      0.021828      0.021686      0.006520      0.000257      0.029518      0.554768      0.739474      0.728323      1.457126      3.900674      0.001079      0.000067
    2.400000      0.000150      0.019107      0.018957      0.007827      0.000256      0.025815      0.584570      0.740136      0.727136      1.419654      3.555797      0.001001      0.000075
    2.500000      0.000160      0.016717      0.016557      0.009594      0.000266      0.022564      0.604026      0.740873      0.725231      1.418740      3.351660      0.000927      0.000080
