tau,alpha,radiance
0,0.634174976,0.008087055
0,7.187326719,0.007911363
0,14.16325146,0.007911363
0,24.0986491,0.008357932
0,36.14797365,0.008927208
0,46.71756174,0.009854644
0,56.86436136,0.010073483
0,66.799759,0.010998554
0,78.84908355,0.011120004
0,91.10981008,0.011120004
0,101.8907847,0.011242804
0,111.4034093,0.010410895
0,121.76158,0.009640551
0,128.3147317,0.007998723
0,130.0058546,0.004826418
0,132.5425855,0.003076637
0,134.8678834,0.001816107
0,137.8273563,0.000939665
0,140.3429416,0.000562086
0,144.4016614,0.000328892
0,146.6001244,0.000250479
0,154.5484611,0.000194142
0,162.8350038,0.000165744
0,176.3640802,0.000165744
0,188.3711058,0.000171673
0,201.9001823,0.000225416
0,211.5396419,0.000309275
0,216.6130417,0.000519353
0,219.6570816,0.000834649
0,220.3335246,22.85673962
0,222.5320185,0.001613139
0,224.8995844,0.002525028
0,227.2671813,0.006078879
0,229.2965413,0.018229295
0,238.5977639,0.023109487
0,251.2812635,0.034923846
0,261.4280631,0.046261595
0,268.0234828,0.051858841
0,274.4497996,0.051858841
0,281.7216623,0.043502226
0,293.8978219,0.029815478
0,309.9635982,0.018552434
0,325.3529007,0.012604216
0,339.8966571,0.010030235
0,350.3816937,0.008638655
0,358.8373394,0.007706265
5,0.486205976,0.003063437
5,12.15502554,0.003090468
5,27.88256495,0.003286498
5,57.64650534,0.004509142
5,77.0945431,0.006186636
5,98.91016229,0.00848819
5,118.3582001,0.011645971
5,132.2254825,0.012827643
5,145.754559,0.015700203
5,158.9453985,0.021731074
5,177.8860808,0.04199998
5,193.2754142,0.088628379
5,200.378174,0.142434005
5,208.4956137,0.282636529
5,215.0910334,0.474620961
5,219.6570932,0.645493929
5,226.083379,0.377695806
5,235.2154987,0.193712918
5,245.0240923,0.102905221
5,262.4427547,0.043886119
5,278.1702941,0.02061521
5,296.2654304,0.011145459
5,309.4562699,0.00693517
5,327.7205092,0.004469699
5,339.5584318,0.003619966
5,352.7492713,0.003201007
5,359.6829203,0.002983748
20,0.317091359,0.000160021
20,7.758072586,0.000158621
20,20.27246911,0.000167207
20,33.29419012,0.000185798
20,44.7938912,0.000219552
20,56.29360775,0.000280784
20,72.02114717,0.000388641
20,87.57956809,0.000603015
20,102.461546,0.000903325
20,117.8508485,0.001477462
20,131.5490279,0.002136831
20,144.7398675,0.002880712
20,159.4527269,0.003849583
20,173.6582464,0.005010497
20,189.3857858,0.005972995
20,202.5766253,0.005920751
20,214.5836818,0.004966668
20,228.6200983,0.00346439
20,241.3035978,0.002232792
20,256.0164573,0.001341358
20,268.0234828,0.000864503
20,282.0598993,0.00053793
20,298.2947787,0.000346694
20,311.3165152,0.000257168
20,326.7058176,0.000201086
20,341.0804401,0.000167207
20,360.0211534,0.000155858
