"Wavelength","depth","alpha","phi","radiance"
1,-1,2.5,0,0
1,-1,2.5,60,0
1,-1,2.5,120,0
1,-1,2.5,180,0
1,-1,2.5,240,0
1,-1,2.5,300,0
1,-1,7.5,0,0
1,-1,7.5,60,0
1,-1,7.5,120,0
1,-1,7.5,180,0
1,-1,7.5,240,0
1,-1,7.5,300,0
1,-1,12.500001,0,0
1,-1,12.500001,60,0
1,-1,12.500001,120,0
1,-1,12.500001,180,0
1,-1,12.500001,240,0
1,-1,12.500001,300,0
1,-1,17.5,0,0
1,-1,17.5,60,0
1,-1,17.5,120,0
1,-1,17.5,180,0
1,-1,17.5,240,0
1,-1,17.5,300,0
1,-1,22.5,0,0
1,-1,22.5,60,0
1,-1,22.5,120,0
1,-1,22.5,180,0
1,-1,22.5,240,0
1,-1,22.5,300,0
1,-1,27.5,0,0
1,-1,27.5,60,0
1,-1,27.5,120,0
1,-1,27.5,180,0
1,-1,27.5,240,0
1,-1,27.5,300,0
1,-1,32.5,0,0
1,-1,32.5,60,0
1,-1,32.5,120,0
1,-1,32.5,180,0
1,-1,32.5,240,0
1,-1,32.5,300,0
1,-1,37.5,0,0
1,-1,37.5,60,0
1,-1,37.5,120,0
1,-1,37.5,180,0
1,-1,37.5,240,0
1,-1,37.5,300,0
1,-1,42.500004,0,0
1,-1,42.500004,60,0
1,-1,42.500004,120,0
1,-1,42.500004,180,0
1,-1,42.500004,240,0
1,-1,42.500004,300,0
1,-1,47.499996,0,0
1,-1,47.499996,60,0
1,-1,47.499996,120,0
1,-1,47.499996,180,0
1,-1,47.499996,240,0
1,-1,47.499996,300,0
1,-1,52.5,0,0
1,-1,52.5,60,0
1,-1,52.5,120,0
1,-1,52.5,180,0
1,-1,52.5,240,0
1,-1,52.5,300,0
1,-1,57.5,0,0
1,-1,57.5,60,0
1,-1,57.5,120,0
1,-1,57.5,180,0
1,-1,57.5,240,0
1,-1,57.5,300,0
1,-1,62.5,0,13.359
1,-1,62.5,60,0
1,-1,62.5,120,0
1,-1,62.5,180,0
1,-1,62.5,240,0
1,-1,62.5,300,0
1,-1,67.5,0,0
1,-1,67.5,60,0
1,-1,67.5,120,0
1,-1,67.5,180,0
1,-1,67.5,240,0
1,-1,67.5,300,0
1,-1,72.500008,0,0
1,-1,72.500008,60,0
1,-1,72.500008,120,0
1,-1,72.500008,180,0
1,-1,72.500008,240,0
1,-1,72.500008,300,0
1,-1,77.500008,0,0
1,-1,77.500008,60,0
1,-1,77.500008,120,0
1,-1,77.500008,180,0
1,-1,77.500008,240,0
1,-1,77.500008,300,0
1,-1,82.5,0,0
1,-1,82.5,60,0
1,-1,82.5,120,0
1,-1,82.5,180,0
1,-1,82.5,240,0
1,-1,82.5,300,0
1,-1,87.5,0,0
1,-1,87.5,60,0
1,-1,87.5,120,0
1,-1,87.5,180,0
1,-1,87.5,240,0
1,-1,87.5,300,0
1,-1,92.5,0,2.3855e-05
1,-1,92.5,60,3.8921e-05
1,-1,92.5,120,5.5243e-05
1,-1,92.5,180,6.5288e-05
1,-1,92.5,240,4.2688e-05
1,-1,92.5,300,3.7666e-05
1,-1,97.5,0,8.6673e-05
1,-1,97.5,60,7.9485e-05
1,-1,97.5,120,0.00016954
1,-1,97.5,180,0.00014375
1,-1,97.5,240,7.9908e-05
1,-1,97.5,300,8.8364e-05
1,-1,102.500008,0,9.399e-05
1,-1,102.500008,60,0.00011082
1,-1,102.500008,120,0.00010953
1,-1,102.500008,180,0.00010228
1,-1,102.500008,240,0.00010953
1,-1,102.500008,300,9.3472e-05
1,-1,107.5,0,9.3864e-05
1,-1,107.5,60,9.6916e-05
1,-1,107.5,120,0.00011275
1,-1,107.5,180,0.00010092
1,-1,107.5,240,0.00010474
1,-1,107.5,300,9.4436e-05
1,-1,112.500008,0,0.00011746
1,-1,112.500008,60,9.8113e-05
1,-1,112.500008,120,0.00016559
1,-1,112.500008,180,0.00015986
1,-1,112.500008,240,0.00010368
1,-1,112.500008,300,0.00011111
1,-1,117.5,0,0.00013746
1,-1,117.5,60,0.00011074
1,-1,117.5,120,0.00012998
1,-1,117.5,180,0.00012971
1,-1,117.5,240,0.0001074
1,-1,117.5,300,0.00014588
1,-1,122.500008,0,0.00015129
1,-1,122.500008,60,0.00011084
1,-1,122.500008,120,0.00012726
1,-1,122.500008,180,0.7364
1,-1,122.500008,240,0.00010975
1,-1,122.500008,300,0.00013994
1,-1,127.5,0,0.00010218
1,-1,127.5,60,0.00011102
1,-1,127.5,120,0.00012643
1,-1,127.5,180,0.00012733
1,-1,127.5,240,0.00011567
1,-1,127.5,300,9.9239e-05
1,-1,132.5,0,0.00011435
1,-1,132.5,60,0.00010952
1,-1,132.5,120,0.0001506
1,-1,132.5,180,0.00015301
1,-1,132.5,240,0.00010336
1,-1,132.5,300,0.0001127
1,-1,137.5,0,0.00010567
1,-1,137.5,60,0.00010029
1,-1,137.5,120,9.5675e-05
1,-1,137.5,180,9.0732e-05
1,-1,137.5,240,9.8531e-05
1,-1,137.5,300,0.00010995
1,-1,142.500015,0,0.00011034
1,-1,142.500015,60,0.00010105
1,-1,142.500015,120,0.00011487
1,-1,142.500015,180,0.00011963
1,-1,142.500015,240,9.4368e-05
1,-1,142.500015,300,0.00011011
1,-1,147.5,0,0.00010359
1,-1,147.5,60,9.3331e-05
1,-1,147.5,120,0.00012931
1,-1,147.5,180,0.0001368
1,-1,147.5,240,9.0554e-05
1,-1,147.5,300,0.00011349
1,-1,152.500015,0,0.00010112
1,-1,152.500015,60,9.3376e-05
1,-1,152.500015,120,7.9083e-05
1,-1,152.500015,180,7.0934e-05
1,-1,152.500015,240,9.1372e-05
1,-1,152.500015,300,0.00010059
1,-1,157.5,0,9.7804e-05
1,-1,157.5,60,8.7745e-05
1,-1,157.5,120,0.00010693
1,-1,157.5,180,0.00010926
1,-1,157.5,240,8.9911e-05
1,-1,157.5,300,0.00010585
1,-1,162.5,0,9.787e-05
1,-1,162.5,60,8.5469e-05
1,-1,162.5,120,0.00011962
1,-1,162.5,180,0.00011771
1,-1,162.5,240,9.7107e-05
1,-1,162.5,300,0.0001055
1,-1,167.5,0,0.00011393
1,-1,167.5,60,0.00010305
1,-1,167.5,120,8.5446e-05
1,-1,167.5,180,7.9749e-05
1,-1,167.5,240,9.9428e-05
1,-1,167.5,300,0.00010823
1,-1,172.5,0,5.6232e-05
1,-1,172.5,60,0.00010485
1,-1,172.5,120,4.8198e-05
1,-1,172.5,180,5.1158e-05
1,-1,172.5,240,0.00010358
1,-1,172.5,300,5.7077e-05
1,-1,177.5,0,0.0001443
1,-1,177.5,60,1.6312e-05
1,-1,177.5,120,0.00017817
1,-1,177.5,180,0.00017065
1,-1,177.5,240,2.1331e-05
1,-1,177.5,300,0.00013426
1,0,2.5,0,5.019e-06
1,0,2.5,60,3.7642e-06
1,0,2.5,120,3.7642e-06
1,0,2.5,180,8.7832e-06
1,0,2.5,240,6.2737e-06
1,0,2.5,300,1.2547e-06
1,0,7.5,0,3.3823e-06
1,0,7.5,60,4.6507e-06
1,0,7.5,120,5.0735e-06
1,0,7.5,180,2.114e-06
1,0,7.5,240,5.0735e-06
1,0,7.5,300,5.0735e-06
1,0,12.500001,0,2.8482e-06
1,0,12.500001,60,3.8839e-06
1,0,12.500001,120,2.8482e-06
1,0,12.500001,180,4.4017e-06
1,0,12.500001,240,2.8482e-06
1,0,12.500001,300,3.1071e-06
1,0,17.5,0,4.1972e-06
1,0,17.5,60,3.2433e-06
1,0,17.5,120,3.434e-06
1,0,17.5,180,4.3879e-06
1,0,17.5,240,4.5787e-06
1,0,17.5,300,4.0064e-06
1,0,22.5,0,4.0236e-06
1,0,22.5,60,3.7141e-06
1,0,22.5,120,3.7141e-06
1,0,22.5,180,2.9403e-06
1,0,22.5,240,5.4164e-06
1,0,22.5,300,5.7259e-06
1,0,27.5,0,4.4083e-06
1,0,27.5,60,3.6068e-06
1,0,27.5,120,3.6068e-06
1,0,27.5,180,3.874e-06
1,0,27.5,240,3.7404e-06
1,0,27.5,300,6.8129e-06
1,0,32.5,0,5.554e-06
1,0,32.5,60,5.071e-06
1,0,32.5,120,7.1236e-06
1,0,32.5,180,5.9162e-06
1,0,32.5,240,6.8821e-06
1,0,32.5,300,5.3125e-06
1,0,37.5,0,9.6294e-06
1,0,37.5,60,9.2895e-06
1,0,37.5,120,1.2008e-05
1,0,37.5,180,1.0649e-05
1,0,37.5,240,1.0083e-05
1,0,37.5,300,9.9693e-06
1,0,42.500004,0,2.3397e-05
1,0,42.500004,60,2.0541e-05
1,0,42.500004,120,2.6692e-05
1,0,42.500004,180,10.315
1,0,42.500004,240,2.0211e-05
1,0,42.500004,300,2.2958e-05
1,0,47.499996,0,0.00011775
1,0,47.499996,60,0.00013324
1,0,47.499996,120,0.00018113
1,0,47.499996,180,0.00018377
1,0,47.499996,240,0.00013884
1,0,47.499996,300,0.00011578
1,0,52.5,0,0.0002464
1,0,52.5,60,0.00024674
1,0,52.5,120,0.00037883
1,0,52.5,180,0.00037759
1,0,52.5,240,0.00024583
1,0,52.5,300,0.00024731
1,0,57.5,0,0.00022421
1,0,57.5,60,0.00027529
1,0,57.5,120,0.00043997
1,0,57.5,180,0.0004407
1,0,57.5,240,0.00027891
1,0,57.5,300,0.00024027
1,0,62.5,0,0.0002494
1,0,62.5,60,0.00029509
1,0,62.5,120,0.00056146
1,0,62.5,180,0.00056226
1,0,62.5,240,0.00030738
1,0,62.5,300,0.00024834
1,0,67.5,0,0.00026153
1,0,67.5,60,0.00033225
1,0,67.5,120,0.00068679
1,0,67.5,180,0.00066296
1,0,67.5,240,0.00033117
1,0,67.5,300,0.00025612
1,0,72.500008,0,0.00029895
1,0,72.500008,60,0.00040445
1,0,72.500008,120,0.00086729
1,0,72.500008,180,0.00085641
1,0,72.500008,240,0.00039434
1,0,72.500008,300,0.00029018
1,0,77.500008,0,0.00029181
1,0,77.500008,60,0.00046891
1,0,77.500008,120,0.0011256
1,0,77.500008,180,0.0011066
1,0,77.500008,240,0.00043992
1,0,77.500008,300,0.00028948
1,0,82.5,0,0.00033823
1,0,82.5,60,0.00053652
1,0,82.5,120,0.0014937
1,0,82.5,180,0.0014726
1,0,82.5,240,0.00052891
1,0,82.5,300,0.00036698
1,0,87.5,0,0.00041182
1,0,87.5,60,0.00062526
1,0,87.5,120,0.0018808
1,0,87.5,180,0.0019637
1,0,87.5,240,0.00059763
1,0,87.5,300,0.00039926
1,0,92.5,0,0.00041181
1,0,92.5,60,0.00062525
1,0,92.5,120,0.0018808
1,0,92.5,180,0.0019637
1,0,92.5,240,0.00059763
1,0,92.5,300,0.00039926
1,0,97.5,0,0.00033823
1,0,97.5,60,0.00053652
1,0,97.5,120,0.0014937
1,0,97.5,180,0.0014726
1,0,97.5,240,0.00052891
1,0,97.5,300,0.00036698
1,0,102.500008,0,0.00029181
1,0,102.500008,60,0.00046891
1,0,102.500008,120,0.0011256
1,0,102.500008,180,0.0011066
1,0,102.500008,240,0.00043992
1,0,102.500008,300,0.00028948
1,0,107.5,0,0.00029895
1,0,107.5,60,0.00040445
1,0,107.5,120,0.00086729
1,0,107.5,180,0.00085641
1,0,107.5,240,0.00039434
1,0,107.5,300,0.00029018
1,0,112.500008,0,0.00026153
1,0,112.500008,60,0.00033225
1,0,112.500008,120,0.00068679
1,0,112.500008,180,0.00066296
1,0,112.500008,240,0.00033117
1,0,112.500008,300,0.00025612
1,0,117.5,0,0.0002494
1,0,117.5,60,0.00029509
1,0,117.5,120,0.00056146
1,0,117.5,180,0.00056226
1,0,117.5,240,0.00030738
1,0,117.5,300,0.00024834
1,0,122.500008,0,0.00022421
1,0,122.500008,60,0.00027529
1,0,122.500008,120,0.00043997
1,0,122.500008,180,0.0004407
1,0,122.500008,240,0.00027891
1,0,122.500008,300,0.00024027
1,0,127.5,0,0.0002464
1,0,127.5,60,0.00024674
1,0,127.5,120,0.00037883
1,0,127.5,180,0.00037759
1,0,127.5,240,0.00024583
1,0,127.5,300,0.00024731
1,0,132.5,0,0.00021969
1,0,132.5,60,0.0002421
1,0,132.5,120,0.00032064
1,0,132.5,180,0.00031042
1,0,132.5,240,0.00025242
1,0,132.5,300,0.00022068
1,0,137.5,0,0.00024935
1,0,137.5,60,0.000212
1,0,137.5,120,0.00027956
1,0,137.5,180,0.00027549
1,0,137.5,240,0.00021211
1,0,137.5,300,0.00024902
1,0,142.500015,0,0.00023405
1,0,142.500015,60,0.00020573
1,0,142.500015,120,0.00024459
1,0,142.500015,180,0.00024776
1,0,142.500015,240,0.00021219
1,0,142.500015,300,0.00022397
1,0,147.5,0,0.00020236
1,0,147.5,60,0.0001991
1,0,147.5,120,0.00023411
1,0,147.5,180,0.00023568
1,0,147.5,240,0.00018702
1,0,147.5,300,0.00020417
1,0,152.500015,0,0.00020145
1,0,152.500015,60,0.00018114
1,0,152.500015,120,0.00020399
1,0,152.500015,180,0.00020492
1,0,152.500015,240,0.00017446
1,0,152.500015,300,0.00020639
1,0,157.5,0,0.00018199
1,0,157.5,60,0.00017828
1,0,157.5,120,0.00019452
1,0,157.5,180,0.00019963
1,0,157.5,240,0.00017487
1,0,157.5,300,0.00019839
1,0,162.5,0,0.00019326
1,0,162.5,60,0.00015472
1,0,162.5,120,0.00019688
1,0,162.5,180,0.00019059
1,0,162.5,240,0.00016026
1,0,162.5,300,0.00019097
1,0,167.5,0,0.00017452
1,0,167.5,60,0.00016053
1,0,167.5,120,0.00019394
1,0,167.5,180,0.00019445
1,0,167.5,240,0.00017555
1,0,167.5,300,0.00018254
1,0,172.5,0,0.0001725
1,0,172.5,60,0.00020294
1,0,172.5,120,0.00014629
1,0,172.5,180,0.00013529
1,0,172.5,240,0.00019744
1,0,172.5,300,0.00017419
1,0,177.5,0,0.00022083
1,0,177.5,60,8.4068e-05
1,0,177.5,120,0.00021833
1,0,177.5,180,0.00021582
1,0,177.5,240,9.6615e-05
1,0,177.5,300,0.00021205
1,0.1,2.5,0,0.00069011
1,0.1,2.5,60,0.00018319
1,0.1,2.5,120,0.00099376
1,0.1,2.5,180,0.0010992
1,0.1,2.5,240,0.00018696
1,0.1,2.5,300,0.00061859
1,0.1,7.5,0,0.00034584
1,0.1,7.5,60,0.00071875
1,0.1,7.5,120,0.0008477
1,0.1,7.5,180,0.00087391
1,0.1,7.5,240,0.00069549
1,0.1,7.5,300,0.00034754
1,0.1,12.500001,0,0.0003089
