  Layer =             1  Starting at   0.00000000            m
Wavelength   absorption   scattering  attenuation  scat albedo
     0.000    1.0000000    0.0000000    1.0000000    0.0000000
     0.500    1.0000000    0.5000000    1.5000000    0.3333333
     1.000    1.0000000    1.0000000    2.0000000    0.5000000
     2.000    1.0000000    2.0000000    3.0000000    0.6666667
     3.000    1.0000000    3.0000000    4.0000000    0.7500000
     4.000    1.0000000    4.0000000    5.0000000    0.8000000
     5.000    1.0000000    5.0000000    6.0000000    0.8333333
    10.000    1.0000000   10.0000000   11.0000000    0.9090909
    15.000    1.0000000   15.0000000   16.0000000    0.9375000
    20.000    1.0000000   20.0000000   21.0000000    0.9523810
    25.000    1.0000000   25.0000000   26.0000000    0.9615384
    30.000    1.0000000   30.0000000   31.0000000    0.9677419
