  wavelength           Eu            Ed             R            Lu         Ed(a)         Lu(a) 
    0.000000      0.0000000      1.0000000      0.0000000      0.0000000      1.0202634      5.2957363
    0.500000      0.0028062      1.0000000      0.0028062      0.0007986      1.0185965      5.2721767
    1.000000      0.0056847      1.0000000      0.0056847      0.0013289      1.0169361      5.2460413
    2.000000      0.0115709      1.0000000      0.0115709      0.0021195      1.0137433      5.3119664
    3.000000      0.0182374      1.0000000      0.0182374      0.0039589      1.0098797      5.2640085
    4.000000      0.0247786      1.0000000      0.0247786      0.0057852      1.0061982      5.2729559
    5.000000      0.0314267      1.0000000      0.0314267      0.0073388      1.0028933      5.2878747
   10.000000      0.0659957      1.0000000      0.0659957      0.0179960      0.9837040      5.1316800
   15.000000      0.0982480      1.0000000      0.0982480      0.0275391      0.9667412      5.0783100
   20.000000      0.1279108      1.0000000      0.1279108      0.0380355      0.9512286      4.9886184
   25.000000      0.1561635      1.0000000      0.1561635      0.0443430      0.9374180      4.9316239
   30.000000      0.1814380      1.0000000      0.1814380      0.0533981      0.9245297      4.8389339
