   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup
    0.000000      0.040271      0.500000      0.459729      0.080542      0.074407      1.082840      0.541226      0.461749      0.397261           NaN           NaN
    0.000000      0.020406      0.480134      0.459729      0.042500      0.044898      0.670027      0.454490      0.716590      0.643045      0.999613      1.003076
    0.100000      0.017573      0.412687      0.395113      0.042583      0.038693      0.578969      0.454178      0.712796      0.639692      0.999535      0.997908
    0.200000      0.015105      0.354511      0.339406      0.042608      0.033301      0.498984      0.453582      0.710466      0.637639      0.998580      1.004108
    0.300000      0.012974      0.304378      0.291404      0.042625      0.028610      0.429340      0.453469      0.708943      0.636322      0.998478      1.001270
    0.400000      0.011135      0.261262      0.250128      0.042618      0.024540      0.369133      0.453736      0.707774      0.635370      1.000074      1.004662
    0.500000      0.009555      0.224178      0.214623      0.042621      0.021053      0.317018      0.453838      0.707146      0.634846      1.001278      1.000251
    0.600000      0.008190      0.192341      0.184151      0.042580      0.018027      0.272262      0.454319      0.706457      0.634372      0.999282      1.003386
    0.700000      0.007025      0.165002      0.157976      0.042577      0.015478      0.233684      0.453899      0.706089      0.634032      0.999975      0.997244
    0.800000      0.006031      0.141522      0.135492      0.042614      0.013285      0.200520      0.453954      0.705775      0.633714      0.999597      0.997599
    0.900000      0.005174      0.121374      0.116200      0.042630      0.011439      0.171987      0.452332      0.705717      0.633498      0.999881      0.989445
    1.000000      0.004443      0.104081      0.099638      0.042684      0.009791      0.147464      0.453745      0.705804      0.633609      1.001155      0.994788
    1.100000      0.003808      0.089268      0.085460      0.042663      0.008372      0.126485      0.454877      0.705764      0.633707      0.998871      0.996287
    1.200000      0.003265      0.076538      0.073273      0.042662      0.007199      0.108441      0.453557      0.705800      0.633624      0.999530      1.006597
    1.300000      0.002799      0.065644      0.062845      0.042634      0.006175      0.092959      0.453188      0.706154      0.633935      0.999728      0.992852
    1.400000      0.002407      0.056295      0.053888      0.042757      0.005312      0.079686      0.453109      0.706462      0.633992      1.002328      1.007332
    1.500000      0.002066      0.048276      0.046210      0.042789      0.004558      0.068298      0.453224      0.706845      0.634273      0.999626      0.999960
    1.600000      0.001769      0.041404      0.039635      0.042719      0.003902      0.058568      0.453286      0.706943      0.634473      0.998856      1.021249
    1.700000      0.001515      0.035500      0.033985      0.042664      0.003313      0.050194      0.457205      0.707251      0.635158      0.995911      1.003418
    1.800000      0.001302      0.030450      0.029148      0.042746      0.002865      0.043018      0.454306      0.707837      0.635271      0.998524      1.030327
    1.900000      0.001115      0.026119      0.025004      0.042677      0.002443      0.036890      0.456201      0.708021      0.635699      1.006089      1.002295
