   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
    0.000000      0.030782      0.500000      0.469218      0.061564      0.062742      1.020179      0.490613      0.490110      0.433289      0.000000      0.000000      0.000000      0.000102
    0.000000      0.000939      0.470157      0.469218      0.001998      0.002750      0.625332      0.341610      0.751852      0.747065      1.354367      5.926538      0.000000      0.000198
    0.100000      0.000829      0.411855      0.411026      0.002014      0.002398      0.549058      0.345952      0.750113      0.745348      1.351418      5.627932      0.000642      0.000178
    0.200000      0.000728      0.360661      0.359933      0.002018      0.002123      0.481579      0.342896      0.748914      0.744122      1.387501      5.674219      0.001202      0.000150
    0.300000      0.000637      0.315714      0.315077      0.002018      0.001912      0.422016      0.333221      0.748109      0.743233      1.438010      5.575039      0.001693      0.000109
    0.400000      0.000561      0.276398      0.275837      0.002031      0.001667      0.369886      0.336829      0.747253      0.742389      1.440840      5.359971      0.002069      0.000068
    0.500000      0.000492      0.241893      0.241402      0.002033      0.001426      0.323931      0.344772      0.746744      0.741959      1.446791      7.136116      0.002246      0.000041
    0.600000      0.000431      0.211699      0.211268      0.002035      0.001263      0.283647      0.341070      0.746347      0.741526      1.435453      6.862689      0.002403      0.000027
    0.700000      0.000378      0.185179      0.184802      0.002039      0.001141      0.248227      0.330977      0.746006      0.741079      1.505082      6.416946      0.002424      0.000041
    0.800000      0.000333      0.162001      0.161667      0.002057      0.001016      0.217212      0.328014      0.745818      0.740819      1.461813      5.595864      0.002553      0.000048
    0.900000      0.000293      0.141730      0.141437      0.002071      0.000904      0.190069      0.324702      0.745680      0.740614      1.470031      5.516619      0.002437      0.000034
    1.000000      0.000251      0.123968      0.123717      0.002026      0.000752      0.166267      0.334042      0.745595      0.740736      1.404868      5.714737      0.002383      0.000020
    1.100000      0.000224      0.108407      0.108183      0.002071      0.000677      0.145399      0.331723      0.745583      0.740592      1.466570      5.128716      0.002191      0.000014
    1.200000      0.000194      0.094870      0.094676      0.002047      0.000565      0.127266      0.343596      0.745448      0.740633      1.416441      6.706204      0.002273      0.000014
    1.300000      0.000173      0.083025      0.082852      0.002080      0.000494      0.111356      0.349902      0.745582      0.740747      1.502886      8.031952      0.002103      0.000014
    1.400000      0.000154      0.072605      0.072451      0.002127      0.000465      0.097339      0.331923      0.745901      0.740774      1.462893      6.345372      0.001987      0.000014
    1.500000      0.000132      0.063491      0.063360      0.002074      0.000381      0.085117      0.345998      0.745930      0.741069      1.474683      4.396850      0.001939      0.000014
    1.600000      0.000119      0.055586      0.055467      0.002139      0.000344      0.074506      0.345606      0.746061      0.741044      1.405066      1.506381      0.001782      0.000007
    1.700000      0.000103      0.048620      0.048517      0.002129      0.000315      0.065114      0.328254      0.746701      0.741521      1.468724      5.736322      0.001659      0.000014
    1.800000      0.000089      0.042556      0.042466      0.002098      0.000261      0.056991      0.342071      0.746702      0.741738      1.372293      8.507171      0.001557      0.000014
