  wavelength           Eu            Ed             R            Lu         Ed(a)         Lu(a) 
  400.000000      0.0295870      0.9950640      0.0297338      0.0065317      1.0000000      5.2353230
  405.000000      0.0284040      0.9947370      0.0285543      0.0073156      1.0000000      5.2361069
  410.000000      0.0270630      0.9939370      0.0272281      0.0070543      1.0000000      5.2172956
  415.000000      0.0257290      0.9933550      0.0259011      0.0062705      1.0000000      5.2538729
  420.000000      0.0246390      0.9928520      0.0248164      0.0052254      1.0000000      5.2368903
  425.000000      0.0241810      0.9927870      0.0243567      0.0070543      1.0000000      5.1846366
  430.000000      0.0228900      0.9918270      0.0230786      0.0070543      1.0000000      5.2734685
  435.000000      0.0218060      0.9915430      0.0219920      0.0060092      1.0000000      5.1754923
  440.000000      0.0212470      0.9907890      0.0214445      0.0044416      1.0000000      5.2721620
  445.000000      0.0205500      0.9907990      0.0207408      0.0070543      1.0000000      5.1647801
  450.000000      0.0199830      0.9904230      0.0201762      0.0054867      1.0000000      5.2314038
  455.000000      0.0192520      0.9898180      0.0194500      0.0057479      1.0000000      5.2658916
  460.000000      0.0182810      0.9895110      0.0184748      0.0044416      1.0000000      5.2243495
  465.000000      0.0185530      0.9898480      0.0187433      0.0052254      1.0000000      5.1888170
  470.000000      0.0183450      0.9897490      0.0185350      0.0049641      1.0000000      5.1969166
  475.000000      0.0177660      0.9893150      0.0179579      0.0054867      1.0000000      5.2264400
  480.000000      0.0172080      0.9888020      0.0174029      0.0036578      1.0000000      5.2985506
  485.000000      0.0169750      0.9891060      0.0171620      0.0044416      1.0000000      5.2387195
  490.000000      0.0170020      0.9888300      0.0171941      0.0049641      1.0000000      5.2705946
  495.000000      0.0162440      0.9886750      0.0164301      0.0039190      1.0000000      5.2253952
  500.000000      0.0158870      0.9884980      0.0160719      0.0039190      1.0000000      5.2410712
  505.000000      0.0146920      0.9879270      0.0148715      0.0031352      1.0000000      5.1932583
  510.000000      0.0136220      0.9874410      0.0137953      0.0041803      1.0000000      5.1940427
  515.000000      0.0126760      0.9868870      0.0128444      0.0028740      1.0000000      5.2034478
  520.000000      0.0117990      0.9860050      0.0119665      0.0028740      1.0000000      5.2946315
  525.000000      0.0118990      0.9862410      0.0120650      0.0020902      1.0000000      5.2726846
  530.000000      0.0115860      0.9862790      0.0117472      0.0026127      1.0000000      5.2196469
  535.000000      0.0115180      0.9866160      0.0116742      0.0020902      1.0000000      5.1496267
  540.000000      0.0110210      0.9859150      0.0111784      0.0013063      1.0000000      5.2269626
  545.000000      0.0104210      0.9855900      0.0105734      0.0026127      1.0000000      5.2345395
  550.000000      0.0100220      0.9855460      0.0101690      0.0020902      1.0000000      5.2081509
  555.000000      0.0095540      0.9853040      0.0096965      0.0023514      1.0000000      5.2010965
  560.000000      0.0093120      0.9849770      0.0094540      0.0015676      1.0000000      5.2606659
  565.000000      0.0087730      0.9847130      0.0089092      0.0023514      1.0000000      5.2509995
  570.000000      0.0085150      0.9846270      0.0086479      0.0026127      1.0000000      5.2238269
  575.000000      0.0073860      0.9844770      0.0075025      0.0013063      1.0000000      5.1355181
  580.000000      0.0063290      0.9833560      0.0064361      0.0015676      1.0000000      5.2651081
  585.000000      0.0053200      0.9828610      0.0054128      0.0015676      1.0000000      5.2206922
  590.000000      0.0043450      0.9826430      0.0044217      0.0005225      1.0000000      5.1551137
  595.000000      0.0036030      0.9821810      0.0036684      0.0013063      1.0000000      5.1694832
  600.000000      0.0029670      0.9814300      0.0030231      0.0005225      1.0000000      5.2750359
  605.000000      0.0026420      0.9817230      0.0026912      0.0005225      1.0000000      5.1459689
  610.000000      0.0024980      0.9812110      0.0025458      0.0005225      1.0000000      5.2549186
  615.000000      0.0023910      0.9814390      0.0024362      0.0007838      1.0000000      5.1909070
  620.000000      0.0022210      0.9814050      0.0022631      0.0007838      1.0000000      5.1718345
  625.000000      0.0021790      0.9811200      0.0022209      0.0002613      1.0000000      5.2476029
  630.000000      0.0021880      0.9812720      0.0022298      0.0000000      1.0000000      5.2024031
  635.000000      0.0021600      0.9811370      0.0022015      0.0005225      1.0000000      5.2316656
  640.000000      0.0020480      0.9812900      0.0020870      0.0010451      1.0000000      5.1882944
  645.000000      0.0018670      0.9810840      0.0019030      0.0000000      1.0000000      5.2165117
  650.000000      0.0017540      0.9808370      0.0017883      0.0002613      1.0000000      5.2656307
  655.000000      0.0015610      0.9807370      0.0015917      0.0002613      1.0000000      5.2583151
  660.000000      0.0014720      0.9806800      0.0015010      0.0002613      1.0000000      5.2596211
  665.000000      0.0013960      0.9805230      0.0014237      0.0005225      1.0000000      5.2880993
  670.000000      0.0013450      0.9808060      0.0013713      0.0007838      1.0000000      5.2144213
  675.000000      0.0012630      0.9808040      0.0012877      0.0000000      1.0000000      5.2000513
  680.000000      0.0012400      0.9806620      0.0012645      0.0007838      1.0000000      5.2319264
  685.000000      0.0011800      0.9809670      0.0012029      0.0005225      1.0000000      5.1483207
  690.000000      0.0010890      0.9807340      0.0011104      0.0000000      1.0000000      5.1846366
  695.000000      0.0009470      0.9803180      0.0009660      0.0002613      1.0000000      5.2766037
  700.000000      0.0007850      0.9801370      0.0008009      0.0002613      1.0000000      5.3048210
