  wavelength           Eu            Ed             R            Lu         Ed(a)         Lu(a) 
  400.000000      0.0297020     0.9953320     0.0298413     0.0104516     1.0000000     0.0078387
  405.000000      0.0281410     0.9944030     0.0282994     0.0052258     1.0000000     0.0052258
  410.000000      0.0272080     0.9942650     0.0273649     0.0052258     1.0000000     0.0052258
  415.000000      0.0260960     0.9932170     0.0262742     0.0026129     1.0000000     0.0026129
  420.000000      0.0247630     0.9928250     0.0249420     0.0104516     1.0000000     0.0078387
  425.000000      0.0239740     0.9924230     0.0241570     0.0026129     1.0000000     0.0026129
  430.000000      0.0230960     0.9920480     0.0232811     0.0052258     1.0000000     0.0052258
  435.000000      0.0220540     0.9913420     0.0222466     0.0000000     1.0000000     0.0000000
  440.000000      0.0210330     0.9907170     0.0212301     0.0026129     1.0000000     0.0000000
  445.000000      0.0205070     0.9903930     0.0207059     0.0104516     1.0000000     0.0052258
  450.000000      0.0200920     0.9904760     0.0202852     0.0052258     1.0000000     0.0026129
  455.000000      0.0194080     0.9901840     0.0196004     0.0026129     1.0000000     0.0026129
  460.000000      0.0184490     0.9894920     0.0186449     0.0026129     1.0000000     0.0026129
  465.000000      0.0182400     0.9894830     0.0184339     0.0130645     1.0000000     0.0052258
  470.000000      0.0180830     0.9893160     0.0182783     0.0052258     1.0000000     0.0026129
  475.000000      0.0180070     0.9897310     0.0181938     0.0052258     1.0000000     0.0052258
  480.000000      0.0172470     0.9890590     0.0174378     0.0052258     1.0000000     0.0052258
  485.000000      0.0170900     0.9889450     0.0172810     0.0026129     1.0000000     0.0026129
  490.000000      0.0169330     0.9890060     0.0171212     0.0026129     1.0000000     0.0000000
  495.000000      0.0166810     0.9888470     0.0168691     0.0078387     1.0000000     0.0052258
  500.000000      0.0158870     0.9884180     0.0160732     0.0000000     1.0000000     0.0000000
  505.000000      0.0147570     0.9877250     0.0149404     0.0052258     1.0000000     0.0052258
  510.000000      0.0136640     0.9872570     0.0138404     0.0130645     1.0000000     0.0052258
  515.000000      0.0124200     0.9865750     0.0125890     0.0052258     1.0000000     0.0026129
  520.000000      0.0121160     0.9867010     0.0122793     0.0026129     1.0000000     0.0000000
  525.000000      0.0116490     0.9858590     0.0118161     0.0026129     1.0000000     0.0026129
  530.000000      0.0114580     0.9863350     0.0116167     0.0052258     1.0000000     0.0052258
  535.000000      0.0114360     0.9861670     0.0115964     0.0026129     1.0000000     0.0026129
  540.000000      0.0109340     0.9859130     0.0110902     0.0052258     1.0000000     0.0052258
  545.000000      0.0106420     0.9858610     0.0107946     0.0078387     1.0000000     0.0078387
  550.000000      0.0100060     0.9854510     0.0101537     0.0026129     1.0000000     0.0026129
  555.000000      0.0096740     0.9852870     0.0098185     0.0078387     1.0000000     0.0078387
  560.000000      0.0092940     0.9855230     0.0094305     0.0000000     1.0000000     0.0000000
  565.000000      0.0090620     0.9849890     0.0092001     0.0000000     1.0000000     0.0000000
  570.000000      0.0082890     0.9845600     0.0084190     0.0026129     1.0000000     0.0026129
  575.000000      0.0074620     0.9841020     0.0075825     0.0026129     1.0000000     0.0000000
  580.000000      0.0062970     0.9836490     0.0064017     0.0026129     1.0000000     0.0026129
  585.000000      0.0053580     0.9829100     0.0054512     0.0000000     1.0000000     0.0000000
  590.000000      0.0044130     0.9824310     0.0044919     0.0052258     1.0000000     0.0052258
  595.000000      0.0035260     0.9817700     0.0035915     0.0052258     1.0000000     0.0026129
  600.000000      0.0029400     0.9817690     0.0029946     0.0026129     1.0000000     0.0026129
  605.000000      0.0027150     0.9814960     0.0027662     0.0026129     1.0000000     0.0026129
  610.000000      0.0024850     0.9811870     0.0025326     0.0026129     1.0000000     0.0026129
  615.000000      0.0022550     0.9811150     0.0022984     0.0000000     1.0000000     0.0000000
  620.000000      0.0022800     0.9812660     0.0023235     0.0000000     1.0000000     0.0000000
  625.000000      0.0022100     0.9809820     0.0022528     0.0000000     1.0000000     0.0000000
  630.000000      0.0021690     0.9814790     0.0022099     0.0000000     1.0000000     0.0000000
  635.000000      0.0020680     0.9811020     0.0021078     0.0026129     1.0000000     0.0000000
  640.000000      0.0020180     0.9811130     0.0020568     0.0026129     1.0000000     0.0026129
  645.000000      0.0018580     0.9809290     0.0018941     0.0000000     1.0000000     0.0000000
  650.000000      0.0017880     0.9809740     0.0018227     0.0000000     1.0000000     0.0000000
  655.000000      0.0016230     0.9807170     0.0016549     0.0000000     1.0000000     0.0000000
  660.000000      0.0014850     0.9807810     0.0015141     0.0000000     1.0000000     0.0000000
  665.000000      0.0014660     0.9807310     0.0014948     0.0000000     1.0000000     0.0000000
  670.000000      0.0014060     0.9807190     0.0014336     0.0000000     1.0000000     0.0000000
  675.000000      0.0013120     0.9805930     0.0013380     0.0000000     1.0000000     0.0000000
  680.000000      0.0012520     0.9804660     0.0012769     0.0000000     1.0000000     0.0000000
  685.000000      0.0011540     0.9806880     0.0011767     0.0000000     1.0000000     0.0000000
  690.000000      0.0010520     0.9804470     0.0010730     0.0000000     1.0000000     0.0000000
  695.000000      0.0009590     0.9804840     0.0009781     0.0000000     1.0000000     0.0000000
  700.000000      0.0007890     0.9803690     0.0008048     0.0000000     1.0000000     5.2462964
