   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
    0.000000      0.047983      0.500000      0.452017      0.095966      0.090154      0.936111      0.532232      0.534125      0.440448      0.000000      0.000000      0.000000      0.000201
    0.000000      0.043903      0.495920      0.452017      0.088528      0.107729      0.714441      0.407530      0.694136      0.549785      2.293593      5.579719      0.000009      0.000364
    0.100000      0.038860      0.413599      0.374739      0.093955      0.099971      0.631574      0.388712      0.654869      0.512257      2.552981      5.780841      0.000892      0.000329
    0.200000      0.032918      0.340204      0.307286      0.096759      0.086250      0.535175      0.381659      0.635687      0.494486      2.678937      5.895327      0.001575      0.000280
    0.300000      0.027217      0.277795      0.250578      0.097975      0.072362      0.443332      0.376122      0.626606      0.485904      2.769020      5.993121      0.001949      0.000228
    0.400000      0.022216      0.226068      0.203852      0.098271      0.059495      0.362898      0.373408      0.622952      0.482612      2.775553      6.004420      0.002116      0.000191
    0.500000      0.018017      0.183773      0.165756      0.098038      0.048223      0.294701      0.373610      0.623591      0.483361      2.804801      6.062225      0.002114      0.000152
    0.600000      0.014578      0.149502      0.134924      0.097508      0.039014      0.238759      0.373653      0.626162      0.485736      2.784620      5.999901      0.002026      0.000122
    0.700000      0.011795      0.121676      0.109881      0.096940      0.031625      0.193289      0.372973      0.629503      0.488545      2.787423      6.002944      0.001865      0.000098
    0.800000      0.009524      0.099107      0.089582      0.096103      0.025317      0.156515      0.376215      0.633210      0.492666      2.740012      5.987677      0.001708      0.000083
    0.900000      0.007753      0.080889      0.073136      0.095845      0.020559      0.126819      0.377109      0.637827      0.496248      2.751402      5.961649      0.001469      0.000068
    1.000000      0.006286      0.066112      0.059825      0.095088      0.016666      0.103354      0.377205      0.639664      0.498463      2.732613      5.919230      0.001279      0.000054
    1.100000      0.005120      0.054076      0.048957      0.094674      0.013588      0.084094      0.376773      0.643041      0.501180      2.687934      5.911282      0.001112      0.000043
    1.200000      0.004176      0.044312      0.040136      0.094237      0.011071      0.068615      0.377188      0.645801      0.503676      2.676214      5.902886      0.000947      0.000033
    1.300000      0.003427      0.036367      0.032940      0.094246      0.009175      0.056219      0.373557      0.646877      0.503705      2.694489      5.832352      0.000798      0.000030
    1.400000      0.002793      0.029822      0.027029      0.093646      0.007386      0.045910      0.378094      0.649569      0.507146      2.680352      5.861317      0.000691      0.000024
    1.500000      0.002277      0.024476      0.022200      0.093020      0.006049      0.037558      0.376421      0.651705      0.509095      2.713330      5.994586      0.000580      0.000019
