theta   	sigma
0.001745329	1766.61
0.002197195	1295.64
0.002766172	950.172
0.003482455	699.092
0.004384093	513.687
0.005519255	376.373
0.00694833	276.318
0.008747416	218.839
0.011012329	144.369
0.013863674	102.241
0.017453293	71.6082
0.02197195	49.5803
0.027661723	33.9511
0.034824555	22.8129
0.043840925	15.1622
0.055192547	10.0154
0.069483303	6.57957
0.087474157	4.2953
0.110123294	2.8069
0.138636738	1.81927
0.174532925	1.15257
0.261799388	0.489344
0.34906585	0.244424
0.436332313	0.147151
0.523598776	0.0860848
0.610865238	0.0593075
0.698131701	0.0420985
0.785398163	0.0306722
0.872664626	0.0227533
0.959931089	0.0169904
1.047197551	0.0131254
1.134464014	0.0104625
1.221730476	0.00848826
1.308996939	0.00697601
1.396263402	0.00584232
1.483529864	0.00495306
1.570796327	0.00429232
1.658062789	0.00378161
1.745329252	0.00340405
1.832595715	0.00311591
1.919862177	0.00291222
2.00712864	0.00279696
2.094395102	0.00268568
2.181661565	0.00257142
2.268928028	0.00247603
2.35619449	0.00237667
2.443460953	0.00232898
2.530727415	0.00231308
2.617993878	0.00236475
2.705260341	0.00250584
2.792526803	0.00266183
2.879793266	0.00283472
2.967059728	0.00303046
3.054326191	0.00309206
3.141592654	0.00315366
