  wavelength           Eu            Ed             R            Lu         Ed(a)         Lu(a) 
  400.000000      0.0296266     0.9952548     0.0297678     0.0078387     0.9999988     0.0062709
  405.000000      0.0283560     0.9945885     0.0285103     0.0052258     0.9999999     0.0026129
  410.000000      0.0272128     0.9939386     0.0273788     0.0078387     1.0000000     0.0047032
  415.000000      0.0259754     0.9933938     0.0261481     0.0052258     1.0000000     0.0036581
  420.000000      0.0249002     0.9928558     0.0250794     0.0047032     1.0000000     0.0026129
  425.000000      0.0238736     0.9922136     0.0240609     0.0052258     1.0000000     0.0026129
  430.000000      0.0229178     0.9918340     0.0231065     0.0036581     1.0000000     0.0031355
  435.000000      0.0221444     0.9914866     0.0223345     0.0041806     1.0000000     0.0036581
  440.000000      0.0209472     0.9909482     0.0211385     0.0015677     1.0000000     0.0010452
  445.000000      0.0205126     0.9907473     0.0207042     0.0062710     0.9999995     0.0047032
  450.000000      0.0199706     0.9904736     0.0201627     0.0041806     1.0000000     0.0026129
  455.000000      0.0191604     0.9900690     0.0193526     0.0031355     1.0000000     0.0020903
  460.000000      0.0184686     0.9895810     0.0186631     0.0052258     1.0000000     0.0031355
  465.000000      0.0183838     0.9895838     0.0185773     0.0031355     1.0000000     0.0015677
  470.000000      0.0183206     0.9895782     0.0185135     0.0047032     1.0000000     0.0026129
  475.000000      0.0177700     0.9893054     0.0179621     0.0052258     1.0000000     0.0041806
  480.000000      0.0171932     0.9891374     0.0173820     0.0036581     1.0000000     0.0036581
  485.000000      0.0171498     0.9891200     0.0173384     0.0041806     1.0000000     0.0041806
  490.000000      0.0170426     0.9889648     0.0172328     0.0057484     1.0000000     0.0036581
  495.000000      0.0164438     0.9887198     0.0166314     0.0057484     1.0000000     0.0036581
  500.000000      0.0156732     0.9883404     0.0158581     0.0020903     1.0000000     0.0020903
  505.000000      0.0146468     0.9878204     0.0148274     0.0057484     1.0000000     0.0052258
  510.000000      0.0136538     0.9872632     0.0138299     0.0036581     0.9999998     0.0020903
  515.000000      0.0126350     0.9867938     0.0128041     0.0036581     1.0000000     0.0026129
  520.000000      0.0118150     0.9862228     0.0119801     0.0026129     1.0000000     0.0026129
  525.000000      0.0116186     0.9862740     0.0117803     0.0026129     1.0000000     0.0026129
  530.000000      0.0115480     0.9862974     0.0117084     0.0031355     1.0000000     0.0020903
  535.000000      0.0113430     0.9861310     0.0115025     0.0020903     1.0000000     0.0005226
  540.000000      0.0111534     0.9859712     0.0113121     0.0015677     1.0000000     0.0010452
  545.000000      0.0105972     0.9856894     0.0107511     0.0015677     1.0000000     0.0010452
  550.000000      0.0100982     0.9855436     0.0102463     0.0036581     1.0000000     0.0026129
  555.000000      0.0097026     0.9852242     0.0098481     0.0041806     1.0000000     0.0031355
  560.000000      0.0093010     0.9852030     0.0094407     0.0026129     1.0000000     0.0020903
  565.000000      0.0089264     0.9846382     0.0090657     0.0015677     1.0000000     0.0015677
  570.000000      0.0083668     0.9845844     0.0084978     0.0031355     1.0000000     0.0026129
  575.000000      0.0074564     0.9840580     0.0075772     0.0031355     1.0000000     0.0020903
  580.000000      0.0063664     0.9836438     0.0064723     0.0026129     1.0000000     0.0026129
  585.000000      0.0053576     0.9828420     0.0054511     0.0015677     1.0000000     0.0015677
  590.000000      0.0044584     0.9823302     0.0045386     0.0031355     1.0000000     0.0031355
  595.000000      0.0035684     0.9819398     0.0036340     0.0031355     1.0000000     0.0026129
  600.000000      0.0029262     0.9816908     0.0029808     0.0010452     1.0000000     0.0010452
  605.000000      0.0026716     0.9815964     0.0027217     0.0005226     1.0000000     0.0005226
  610.000000      0.0024914     0.9814192     0.0025386     0.0000000     1.0000000     0.0000000
  615.000000      0.0023078     0.9813170     0.0023517     0.0000000     1.0000000     0.0000000
  620.000000      0.0022544     0.9811866     0.0022976     0.0000000     1.0000000     0.0000000
  625.000000      0.0021836     0.9811782     0.0022255     0.0010452     1.0000000     0.0010452
  630.000000      0.0021528     0.9811716     0.0021941     0.0010452     1.0000000     0.0010452
  635.000000      0.0020866     0.9812172     0.0021265     0.0020903     1.0000000     0.0015677
  640.000000      0.0019762     0.9811096     0.0020142     0.0005226     1.0000000     0.0005226
  645.000000      0.0018912     0.9809966     0.0019278     0.0015677     1.0000000     0.0015677
  650.000000      0.0017674     0.9810892     0.0018015     0.0005226     1.0000000     0.0005226
  655.000000      0.0016450     0.9809504     0.0016769     0.0000000     1.0000000     0.0000000
  660.000000      0.0015212     0.9808440     0.0015509     0.0000000     1.0000000     0.0000000
  665.000000      0.0014182     0.9807320     0.0014461     0.0000000     1.0000000     0.0000000
  670.000000      0.0013534     0.9807588     0.0013800     0.0005226     1.0000000     0.0000000
  675.000000      0.0013088     0.9807844     0.0013344     0.0005226     1.0000000     0.0005226
  680.000000      0.0012280     0.9806712     0.0012522     0.0000000     1.0000000     0.0000000
  685.000000      0.0011616     0.9807192     0.0011844     0.0000000     1.0000000     0.0000000
  690.000000      0.0010778     0.9806118     0.0010991     0.0005226     0.9999996     0.0005226
  695.000000      0.0009244     0.9804492     0.0009428     0.0000000     0.9999988     0.0000000
  700.000000      0.0008008     0.9803194     0.0008169     0.0001568     1.0000000     5.2576356
